Cấp lớp,Môn học,Học kỳ,Chủ đề,Loại câu hỏi,Câu hỏi,Lựa chọn,Đáp án đúng,Lời giải chi tiết
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Có công mài sắt có ngày nên ___,,kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Trắc nghiệm,"Trong câu: 'Mùa xuân, sân chơi thật đẹp.', từ 'sân chơi' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'sân chơi' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong ngôi trường luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Lá lành đùm lá ___,,rách,Câu hoàn chỉnh: Lá lành đùm lá rách
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong phát triển luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Kéo thả,Kéo từ 'chăm chỉ' vào ô thích hợp: Em rất yêu ___ của mình.,chăm chỉ | cục đá | bão táp,chăm chỉ,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Kéo thả,Kéo từ 'mát mẻ' vào ô thích hợp: Em rất yêu ___ của mình.,mát mẻ | cục đá | bão táp,mát mẻ,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Kéo thả,Kéo từ 'bảo vệ' vào ô thích hợp: Em rất yêu ___ của mình.,bảo vệ | cục đá | bão táp,bảo vệ,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong tổ ấm luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong núi non luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,gia đình | gia đình | gia đình | gia đình x,gia đình,'gia đình' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Tôn sư trọng ___,,đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong mát mẻ luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong gia đình luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Kéo thả,Kéo thả để ghép đúng câu: Uống nước ___.,nhớ nguồn | thì sẽ thất bại | không cần ai,nhớ nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong bảo vệ luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,mát mẻ | mát mẻ | mát mẻ | mát mẻ x,mát mẻ,'mát mẻ' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Điền khuyết,"Điền từ còn thiếu vào câu tục ngữ: Gần mực thì đen, gần đèn thì ___",,rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Kéo thả,Kéo thả để ghép đúng câu: Tôn sư ___.,trọng đạo | thì sẽ thất bại | không cần ai,trọng đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong gia đình luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong cha mẹ luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Kéo thả,"Kéo thả để ghép đúng câu: Gần mực thì đen, ___.",gần đèn thì rạng | thì sẽ thất bại | không cần ai,gần đèn thì rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong thầy cô luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,cha mẹ | cha mẹ | cha mẹ | cha mẹ x,cha mẹ,'cha mẹ' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Có công mài sắt có ngày nên ___,,kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong chăm chỉ luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Kéo thả,Kéo thả để ghép đúng câu: Lá lành ___.,đùm lá rách | thì sẽ thất bại | không cần ai,đùm lá rách,Câu hoàn chỉnh: Lá lành đùm lá rách
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Kéo thả,Kéo thả để ghép đúng câu: Tôn sư ___.,trọng đạo | thì sẽ thất bại | không cần ai,trọng đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Trắc nghiệm,"Trong câu: 'Mùa xuân, sân chơi thật đẹp.', từ 'sân chơi' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'sân chơi' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Kéo thả,Kéo từ 'đùm bọc' vào ô thích hợp: Em rất yêu ___ của mình.,đùm bọc | cục đá | bão táp,đùm bọc,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Kéo thả,Kéo từ 'bảo vệ' vào ô thích hợp: Em rất yêu ___ của mình.,bảo vệ | cục đá | bão táp,bảo vệ,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,phát triển | phát chiển | phát tdiển | phát triển x,phát triển,'phát triển' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong ngôi nhà chung luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Kéo thả,Kéo thả để ghép đúng câu: Lá lành ___.,đùm lá rách | thì sẽ thất bại | không cần ai,đùm lá rách,Câu hoàn chỉnh: Lá lành đùm lá rách
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong chăm sóc luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,gia đình | gia đình | gia đình | gia đình x,gia đình,'gia đình' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Kéo thả,Kéo từ 'quê hương' vào ô thích hợp: Em rất yêu ___ của mình.,quê hương | cục đá | bão táp,quê hương,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Có công mài sắt có ngày nên ___,,kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Trắc nghiệm,"Trong câu: 'Mùa xuân, rực rỡ thật đẹp.', từ 'rực rỡ' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'rực rỡ' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,sân chơi | xân chơi | sân chơi | sân chơi x,sân chơi,'sân chơi' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong ngôi nhà chung luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong tổ ấm luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,lớp học | lớp học | nớp học | lớp học x,lớp học,'lớp học' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong ngôi nhà chung luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Kéo thả,Kéo từ 'chim chóc' vào ô thích hợp: Em rất yêu ___ của mình.,chim chóc | cục đá | bão táp,chim chóc,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Kéo thả,Kéo từ 'trong lành' vào ô thích hợp: Em rất yêu ___ của mình.,trong lành | cục đá | bão táp,trong lành,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Kéo thả,"Kéo thả để ghép đúng câu: Gần mực thì đen, ___.",gần đèn thì rạng | thì sẽ thất bại | không cần ai,gần đèn thì rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong truyền thống luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Kéo thả,Kéo thả để ghép đúng câu: Tôn sư ___.,trọng đạo | thì sẽ thất bại | không cần ai,trọng đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Kéo thả,Kéo từ 'ngôi nhà chung' vào ô thích hợp: Em rất yêu ___ của mình.,ngôi nhà chung | cục đá | bão táp,ngôi nhà chung,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Có công mài sắt có ngày nên ___,,kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,ông bà | ông bà | ông bà | ông bà x,ông bà,'ông bà' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,anh chị em | anh chị em | anh chị em | anh chị em x,anh chị em,'anh chị em' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Điền khuyết,"Điền từ còn thiếu vào câu tục ngữ: Gần mực thì đen, gần đèn thì ___",,rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,bạn bè | bạn bè | bạn bè | bạn bè x,bạn bè,'bạn bè' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong gia đình luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Kéo thả,Kéo từ 'tổ ấm' vào ô thích hợp: Em rất yêu ___ của mình.,tổ ấm | cục đá | bão táp,tổ ấm,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Tôn sư trọng ___,,đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong học tập luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,bầu trời | bầu chời | bầu tdời | bầu trời x,bầu trời,'bầu trời' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Kéo thả,Kéo từ 'yêu thương' vào ô thích hợp: Em rất yêu ___ của mình.,yêu thương | cục đá | bão táp,yêu thương,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong học tập luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong rực rỡ luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong sách vở luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Kéo thả,Kéo thả để ghép đúng câu: Uống nước ___.,nhớ nguồn | thì sẽ thất bại | không cần ai,nhớ nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Kéo thả,Kéo thả để ghép đúng câu: Uống nước ___.,nhớ nguồn | thì sẽ thất bại | không cần ai,nhớ nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,bảo vệ | bảo vệ | bảo vệ | bảo vệ x,bảo vệ,'bảo vệ' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong cây xanh luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong đất nước luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong anh chị em luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Kéo thả,Kéo từ 'bầu trời' vào ô thích hợp: Em rất yêu ___ của mình.,bầu trời | cục đá | bão táp,bầu trời,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Trắc nghiệm,"Trong câu: 'Mùa xuân, tổ ấm thật đẹp.', từ 'tổ ấm' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'tổ ấm' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Kéo thả,Kéo từ 'núi non' vào ô thích hợp: Em rất yêu ___ của mình.,núi non | cục đá | bão táp,núi non,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong mặt trời luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Kéo thả,Kéo từ 'mặt trời' vào ô thích hợp: Em rất yêu ___ của mình.,mặt trời | cục đá | bão táp,mặt trời,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Kéo thả,Kéo từ 'đùm bọc' vào ô thích hợp: Em rất yêu ___ của mình.,đùm bọc | cục đá | bão táp,đùm bọc,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong cha mẹ luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Kéo thả,Kéo từ 'sân chơi' vào ô thích hợp: Em rất yêu ___ của mình.,sân chơi | cục đá | bão táp,sân chơi,Phù hợp ngữ cảnh.
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,trong lành | chong lành | tdong nành | trong lành x,trong lành,'trong lành' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Kéo thả,Kéo thả để ghép đúng câu: Có công mài sắt ___.,có ngày nên kim | thì sẽ thất bại | không cần ai,có ngày nên kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Tôn sư trọng ___,,đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,gia đình | gia đình | gia đình | gia đình x,gia đình,'gia đình' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,chăm chỉ | chăm chỉ | chăm chỉ | chăm chỉ x,chăm chỉ,'chăm chỉ' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong bạn bè luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Trắc nghiệm,"Trong câu: 'Mùa xuân, yêu thương thật đẹp.', từ 'yêu thương' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'yêu thương' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Kéo thả,Kéo thả để ghép đúng câu: Có công mài sắt ___.,có ngày nên kim | thì sẽ thất bại | không cần ai,có ngày nên kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong ông bà luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,lịch sử | lịch xử | nịch sử | lịch sử x,lịch sử,'lịch sử' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Kéo thả,Kéo thả để ghép đúng câu: Lá lành ___.,đùm lá rách | thì sẽ thất bại | không cần ai,đùm lá rách,Câu hoàn chỉnh: Lá lành đùm lá rách
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Điền khuyết,"Điền từ còn thiếu vào câu tục ngữ: Gần mực thì đen, gần đèn thì ___",,rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 1,Tiếng Việt,Học kỳ 2,6. Thiên nhiên kỳ thú,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,biển cả | biển cả | biển cả | biển cả x,biển cả,'biển cả' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Uống nước nhớ ___,,nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong phát triển luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Trắc nghiệm,"Trong câu: 'Mùa xuân, thầy cô thật đẹp.', từ 'thầy cô' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'thầy cô' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Trắc nghiệm,"Trong câu: 'Mùa xuân, văn hóa thật đẹp.', từ 'văn hóa' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'văn hóa' chỉ sự vật/hiện tượng nên là danh từ.
