Tên Đề Thi,Cấp Lớp,Mốc Thời Gian,Loại Câu Hỏi,Nội dung câu hỏi,Đáp án 1,Đáp án 2,Đáp án 3,Đáp án 4,Đáp án đúng
Đề thi Toán Lớp 5 - END2 - Đề 5,5,end2,multiple_choice,Một ô tô đi với vận tốc 33 km/h trong 4 giờ. Quãng đường đi được là:,132,37,8.2,142,132
Đề thi Toán Lớp 5 - END2 - Đề 5,5,end2,multiple_choice,Một ô tô đi với vận tốc 40 km/h trong 3 giờ. Quãng đường đi được là:,130,13.3,43,120,120
Đề thi Toán Lớp 5 - END2 - Đề 5,5,end2,fill_blank,Người đi bộ đi được 25 km trong 5 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 5,5,end2,fill_blank,Người đi bộ đi được 20 km trong 4 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 5,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 164km, tổng vận tốc 41km/h. Thời gian gặp nhau là:",4,2,5,3,4
Đề thi Toán Lớp 5 - END2 - Đề 5,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 168km, tổng vận tốc 42km/h. Thời gian gặp nhau là:",5,3,2,4,4
Đề thi Toán Lớp 5 - END2 - Đề 5,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 5,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 5,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 5 - END2 - Đề 5,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 5 - END2 - Đề 6,5,end2,multiple_choice,Một ô tô đi với vận tốc 33 km/h trong 4 giờ. Quãng đường đi được là:,8.2,37,142,132,132
Đề thi Toán Lớp 5 - END2 - Đề 6,5,end2,multiple_choice,Một ô tô đi với vận tốc 37 km/h trong 3 giờ. Quãng đường đi được là:,121,40,111,12.3,111
Đề thi Toán Lớp 5 - END2 - Đề 6,5,end2,fill_blank,Người đi bộ đi được 10 km trong 2 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 6,5,end2,fill_blank,Người đi bộ đi được 25 km trong 5 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 6,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 164km, tổng vận tốc 41km/h. Thời gian gặp nhau là:",2,4,3,5,4
Đề thi Toán Lớp 5 - END2 - Đề 6,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 144km, tổng vận tốc 36km/h. Thời gian gặp nhau là:",4,3,5,2,4
Đề thi Toán Lớp 5 - END2 - Đề 6,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 6,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 6,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 5 - END2 - Đề 6,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 5 - END2 - Đề 7,5,end2,multiple_choice,Một ô tô đi với vận tốc 41 km/h trong 3 giờ. Quãng đường đi được là:,123,13.7,44,133,123
Đề thi Toán Lớp 5 - END2 - Đề 7,5,end2,multiple_choice,Một ô tô đi với vận tốc 37 km/h trong 4 giờ. Quãng đường đi được là:,9.2,41,158,148,148
Đề thi Toán Lớp 5 - END2 - Đề 7,5,end2,fill_blank,Người đi bộ đi được 10 km trong 2 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 7,5,end2,fill_blank,Người đi bộ đi được 15 km trong 3 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 7,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 148km, tổng vận tốc 37km/h. Thời gian gặp nhau là:",4,2,5,3,4
Đề thi Toán Lớp 5 - END2 - Đề 7,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 176km, tổng vận tốc 44km/h. Thời gian gặp nhau là:",5,3,2,4,4
Đề thi Toán Lớp 5 - END2 - Đề 7,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 7,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 7,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 5 - END2 - Đề 7,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 5 - END2 - Đề 8,5,end2,multiple_choice,Một ô tô đi với vận tốc 40 km/h trong 5 giờ. Quãng đường đi được là:,8.0,45,210,200,200
Đề thi Toán Lớp 5 - END2 - Đề 8,5,end2,multiple_choice,Một ô tô đi với vận tốc 33 km/h trong 2 giờ. Quãng đường đi được là:,16.5,76,66,35,66
Đề thi Toán Lớp 5 - END2 - Đề 8,5,end2,fill_blank,Người đi bộ đi được 20 km trong 4 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 8,5,end2,fill_blank,Người đi bộ đi được 20 km trong 4 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 8,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 196km, tổng vận tốc 49km/h. Thời gian gặp nhau là:",5,2,3,4,4
Đề thi Toán Lớp 5 - END2 - Đề 8,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 140km, tổng vận tốc 35km/h. Thời gian gặp nhau là:",4,3,2,5,4
Đề thi Toán Lớp 5 - END2 - Đề 8,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 8,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 8,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 5 - END2 - Đề 8,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 5 - END2 - Đề 9,5,end2,multiple_choice,Một ô tô đi với vận tốc 35 km/h trong 5 giờ. Quãng đường đi được là:,185,40,7.0,175,175
Đề thi Toán Lớp 5 - END2 - Đề 9,5,end2,multiple_choice,Một ô tô đi với vận tốc 42 km/h trong 2 giờ. Quãng đường đi được là:,44,21.0,94,84,84
Đề thi Toán Lớp 5 - END2 - Đề 9,5,end2,fill_blank,Người đi bộ đi được 10 km trong 2 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 9,5,end2,fill_blank,Người đi bộ đi được 20 km trong 4 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 9,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 200km, tổng vận tốc 50km/h. Thời gian gặp nhau là:",3,2,5,4,4
Đề thi Toán Lớp 5 - END2 - Đề 9,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 124km, tổng vận tốc 31km/h. Thời gian gặp nhau là:",3,5,2,4,4
Đề thi Toán Lớp 5 - END2 - Đề 9,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 9,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 9,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 5 - END2 - Đề 9,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 5 - END2 - Đề 10,5,end2,multiple_choice,Một ô tô đi với vận tốc 31 km/h trong 3 giờ. Quãng đường đi được là:,103,10.3,34,93,93
Đề thi Toán Lớp 5 - END2 - Đề 10,5,end2,multiple_choice,Một ô tô đi với vận tốc 44 km/h trong 2 giờ. Quãng đường đi được là:,88,46,22.0,98,88
Đề thi Toán Lớp 5 - END2 - Đề 10,5,end2,fill_blank,Người đi bộ đi được 10 km trong 2 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 10,5,end2,fill_blank,Người đi bộ đi được 25 km trong 5 giờ. Vận tốc là:,5,10,15,4,5
Đề thi Toán Lớp 5 - END2 - Đề 10,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 148km, tổng vận tốc 37km/h. Thời gian gặp nhau là:",2,3,5,4,4
Đề thi Toán Lớp 5 - END2 - Đề 10,5,end2,multiple_choice,"Hai xe ngược chiều cách nhau 140km, tổng vận tốc 35km/h. Thời gian gặp nhau là:",5,4,3,2,4
Đề thi Toán Lớp 5 - END2 - Đề 10,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 10,5,end2,comparison,So sánh: Vận tốc 60km/h ... Vận tốc 1km/phút,>,<,=,,=
Đề thi Toán Lớp 5 - END2 - Đề 10,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 5 - END2 - Đề 10,5,end2,true_false,Đúng hay sai: Quãng đường bằng vận tốc chia cho thời gian.,Đúng,Sai,,,Sai
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 1,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'bát ngát'?,Nhỏ bé,Rộng rãi,Nông cạn,Chật hẹp,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 1,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'rộng lớn'?,Nông cạn,Nhỏ bé,Chật hẹp,Rộng rãi,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 1,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 1,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 1,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,bài,Tớ,học,đang,Tớ
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 1,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,học,đang,bài,Tớ,Tớ
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 1,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 1,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 1,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 1,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 2,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'rộng lớn'?,Nhỏ bé,Chật hẹp,Rộng rãi,Nông cạn,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 2,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'rộng lớn'?,Nông cạn,Rộng rãi,Nhỏ bé,Chật hẹp,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 2,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 2,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 2,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,học,Tớ,bài,đang,Tớ
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 2,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,đang,Tớ,học,bài,Tớ
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 2,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 2,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 2,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 2,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 3,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'mênh mông'?,Nông cạn,Nhỏ bé,Chật hẹp,Rộng rãi,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 3,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'bao la'?,Rộng rãi,Nhỏ bé,Chật hẹp,Nông cạn,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 3,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 3,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 3,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,bài,học,đang,Tớ,Tớ
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 3,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,bài,đang,Tớ,học,Tớ
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 3,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 3,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 3,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 3,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 4,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'rộng lớn'?,Nhỏ bé,Rộng rãi,Nông cạn,Chật hẹp,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 4,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'mênh mông'?,Nông cạn,Chật hẹp,Rộng rãi,Nhỏ bé,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 4,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 4,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 4,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,Tớ,bài,học,đang,Tớ
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 4,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,bài,Tớ,học,đang,Tớ
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 4,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 4,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 4,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 4,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 5,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'bát ngát'?,Nông cạn,Rộng rãi,Nhỏ bé,Chật hẹp,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 5,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'bao la'?,Nông cạn,Chật hẹp,Rộng rãi,Nhỏ bé,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 5,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 5,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 5,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,bài,đang,học,Tớ,Tớ
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 5,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,đang,học,Tớ,bài,Tớ
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 5,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 5,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 5,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 5,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 6,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'bát ngát'?,Nhỏ bé,Nông cạn,Chật hẹp,Rộng rãi,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 6,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'bao la'?,Nông cạn,Nhỏ bé,Rộng rãi,Chật hẹp,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 6,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 6,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 6,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,Tớ,đang,bài,học,Tớ
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 6,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,đang,Tớ,học,bài,Tớ
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 6,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 6,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 6,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 6,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 7,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'bao la'?,Chật hẹp,Rộng rãi,Nhỏ bé,Nông cạn,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 7,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'mênh mông'?,Nhỏ bé,Chật hẹp,Nông cạn,Rộng rãi,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 7,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 7,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 7,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,đang,học,bài,Tớ,Tớ
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 7,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,Tớ,bài,học,đang,Tớ
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 7,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 7,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 7,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 7,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 8,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'mênh mông'?,Rộng rãi,Nhỏ bé,Nông cạn,Chật hẹp,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 8,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'rộng lớn'?,Nông cạn,Rộng rãi,Chật hẹp,Nhỏ bé,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 8,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 8,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 8,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,đang,học,bài,Tớ,Tớ
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 8,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,Tớ,bài,học,đang,Tớ
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 8,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 8,5,mid1,true_false,Đúng hay sai: 'Đánh đàn' và 'đánh giày' là hiện tượng từ nhiều nghĩa.,Đúng,Sai,,,Đúng
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 8,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 8,5,mid1,comparison,So sánh số tiếng: 'thiên nhiên' ... 'kỳ thú',>,<,=,,=
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 9,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'mênh mông'?,Chật hẹp,Nông cạn,Rộng rãi,Nhỏ bé,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 9,5,mid1,multiple_choice,Từ nào đồng nghĩa với từ 'bát ngát'?,Nông cạn,Nhỏ bé,Chật hẹp,Rộng rãi,Rộng rãi
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 9,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 9,5,mid1,fill_blank,"Điền từ: 'Mùa thu, trời xanh ... ' (chỉ màu xanh rộng lớn).",thăm thẳm,bát ngát,mênh mông,lồng lộng,thăm thẳm
Đề thi Tiếng Việt Lớp 5 - MID1 - Đề 9,5,mid1,multiple_choice,Đại từ xưng hô trong câu 'Tớ đang học bài' là:,học,đang,bài,Tớ,Tớ
